Unnamed: 0,Timestamp (UTC),PM2.5 (ug/m3),Temperature (Celsius),Relative Humidity (%)
362,5/13/2023 2:00,3.0,33.475,68.0
363,5/13/2023 3:00,3.0,35.15,63.25
364,5/13/2023 4:00,2.25,36.475,59.25
365,5/13/2023 5:00,2.5,37.35,57.25
366,5/13/2023 6:00,2.0,38.35,54.75
367,5/13/2023 7:00,,,
368,5/13/2023 8:00,,,
369,5/13/2023 9:00,6.25,39.4,51.5
370,5/13/2023 10:00,3.25,40.975,47.25
371,5/13/2023 11:00,1.75,39.1,50.5
372,5/13/2023 12:00,3.5,36.1,57.5
373,5/13/2023 13:00,2.75,34.775,61.25
374,5/13/2023 14:00,2.0,33.875,63.5
375,5/13/2023 15:00,2.25,33.175,65.5
376,5/13/2023 16:00,2.0,32.75,67.0
377,5/13/2023 17:00,2.0,32.6,67.25
378,5/13/2023 18:00,2.0,32.3,69.0
379,5/13/2023 19:00,2.0,32.35,68.5
380,5/13/2023 20:00,2.0,32.45,69.0
381,5/13/2023 21:00,2.25,32.1,70.25
382,5/13/2023 22:00,2.75,31.975,71.5
383,5/13/2023 23:00,2.75,31.95,72.0
384,5/14/2023 0:00,2.5,32.025,72.0
385,5/14/2023 1:00,3.25,32.575,71.0
386,5/14/2023 2:00,5.25,33.8,67.75
387,5/14/2023 3:00,,,
388,5/14/2023 4:00,5.0,36.56666667,60.33333333
389,5/14/2023 5:00,6.0,38.225,56.0
390,5/14/2023 6:00,6.75,39.575,52.75
391,5/14/2023 7:00,6.5,41.125,49.0
392,5/14/2023 8:00,6.0,42.025,47.75
393,5/14/2023 9:00,4.25,41.45,48.25
394,5/14/2023 10:00,4.25,39.55,51.75
395,5/14/2023 11:00,5.333333333,37.4,55.66666667
396,5/14/2023 12:00,5.0,36.6,57.5
397,5/14/2023 13:00,3.0,35.275,60.5
398,5/14/2023 14:00,2.5,34.425,63.0
399,5/14/2023 15:00,2.0,33.625,65.5
400,5/14/2023 16:00,2.5,32.975,68.25
401,5/14/2023 17:00,2.25,32.7,69.5
402,5/14/2023 18:00,2.25,32.575,70.0
403,5/14/2023 19:00,3.0,32.4,70.75
404,5/14/2023 20:00,3.0,32.25,71.0
405,5/14/2023 21:00,3.0,32.175,71.0
406,5/14/2023 22:00,3.0,32.2,71.0
407,5/14/2023 23:00,3.0,32.125,71.5
408,5/15/2023 0:00,3.0,32.05,72.0
